cell_id,mean_elevation_m
NGA_5km_029000,299.6725983796296
NGA_5km_029001,316.4780574845679
NGA_5km_029002,301.2416087962963
NGA_5km_029003,278.5843219521605
NGA_5km_029004,312.99795751633985
NGA_5km_029005,368.186222029321
NGA_5km_029006,370.13589891975306
NGA_5km_029007,364.94724151234567
NGA_5km_029008,385.18262924382714
NGA_5km_029009,372.5975115740741
NGA_5km_029010,340.02372685185185
NGA_5km_029011,388.6338734567901
NGA_5km_029012,391.7510212418301
NGA_5km_029013,410.78993055555554
NGA_5km_029014,427.315731095679
NGA_5km_029015,465.7796103395062
NGA_5km_029016,485.9821566358025
NGA_5km_029017,469.8048321759259
NGA_5km_029018,455.23876350308643
NGA_5km_029019,424.11008986928107
NGA_5km_029020,371.01760223765433
NGA_5km_029021,329.303337191358
NGA_5km_029022,355.32171103395063
NGA_5km_029023,375.0973186728395
NGA_5km_029024,432.8205054012346
NGA_5km_029025,449.14149305555554
NGA_5km_029026,463.24696180555554
NGA_5km_029027,479.0654105392157
NGA_5km_029028,472.74464699074076
NGA_5km_029029,479.1238425925926
NGA_5km_029030,461.2322048611111
NGA_5km_029031,441.60146604938274
NGA_5km_029032,425.95264274691357
NGA_5km_029033,403.91353202160496
NGA_5km_029034,421.5015318627451
NGA_5km_029035,428.87827932098764
NGA_5km_029036,424.7663966049383
NGA_5km_029037,424.91010802469134
NGA_5km_029038,402.42230902777777
NGA_5km_029039,391.5871672453704
NGA_5km_029040,391.805965470679
NGA_5km_029041,389.8175636574074
NGA_5km_029042,393.16689644607845
NGA_5km_029043,393.3515625
NGA_5km_029044,392.2892795138889
NGA_5km_029045,388.23707561728395
NGA_5km_029046,383.59471450617286
NGA_5km_029047,379.23635223765433
NGA_5km_029048,376.5877700617284
NGA_5km_029049,373.20003858024694
NGA_5km_029050,369.35521343954247
NGA_5km_029051,364.1268325617284
NGA_5km_029052,360.682990933642
NGA_5km_029053,359.0652970679012
NGA_5km_029054,357.9279272762346
NGA_5km_029055,355.7380160108025
NGA_5km_029056,354.0281153549383
NGA_5km_029057,352.42473447712416
NGA_5km_029058,351.2155671296296
NGA_5km_029059,350.1617717978395
NGA_5km_029060,349.86677758487656
NGA_5km_029061,348.0573640046296
NGA_5km_029062,346.292293595679
NGA_5km_029063,345.77300347222223
NGA_5km_029064,344.90480324074076
NGA_5km_029065,343.6970996732026
NGA_5km_029066,343.91468942901236
NGA_5km_029067,343.74814332561726
NGA_5km_029068,344.72190875771605
NGA_5km_029069,343.91796875
NGA_5km_029070,342.9029224537037
NGA_5km_029071,341.63676697530866
NGA_5km_029072,341.50405943627453
NGA_5km_029073,341.87295042438274
NGA_5km_029074,342.52384741512344
NGA_5km_029075,343.40277777777777
NGA_5km_029076,344.53395061728395
NGA_5km_029077,344.8011670524691
NGA_5km_029078,345.9158950617284
NGA_5km_029079,346.72444058641975
NGA_5km_029080,347.8805147058824
NGA_5km_029081,300.7769579475309
NGA_5km_029082,244.13720100308643
NGA_5km_029083,237.8890335648148
NGA_5km_029084,223.19270833333334
NGA_5km_029085,225.7542679398148
NGA_5km_029086,235.99392361111111
NGA_5km_029087,253.40576491013073
NGA_5km_029088,252.60392554012347
NGA_5km_029089,270.36284722222223
NGA_5km_029090,430.6244212962963
NGA_5km_029091,524.5422453703703
NGA_5km_029092,294.4714265046296
NGA_5km_029093,385.23382040895063
NGA_5km_029094,571.2085262345679
NGA_5km_029095,527.5277267156863
NGA_5km_029096,387.7362075617284
NGA_5km_029097,294.5168788580247
NGA_5km_029098,195.71732735339506
NGA_5km_029099,176.19496286651236
NGA_5km_029100,189.75767988040124
NGA_5km_029101,176.1353443287037
NGA_5km_029102,175.1990655637255
NGA_5km_029103,183.98003472222223
NGA_5km_029104,165.17914496527777
NGA_5km_029105,157.98570119598764
NGA_5km_029106,163.44017650462962
NGA_5km_029107,186.47800925925927
NGA_5km_029108,144.69266010802468
NGA_5km_029109,136.6378520447531
NGA_5km_029110,125.7679483251634
NGA_5km_029111,137.5640311535494
NGA_5km_029112,148.2640094521605
NGA_5km_029113,169.11277488425927
NGA_5km_029114,185.55620659722223
NGA_5km_029115,144.65011332947532
NGA_5km_029116,113.40254870756173
NGA_5km_029117,105.59847608024691
NGA_5km_029118,106.44850388071896
NGA_5km_029119,108.99430941358025
NGA_5km_029120,109.47718942901234
NGA_5km_029121,133.27756076388889
NGA_5km_029122,151.65088493441357
NGA_5km_029123,165.2417293595679
NGA_5km_029124,169.03539737654322
NGA_5km_029125,182.84732434640523
NGA_5km_029126,186.05389178240742
NGA_5km_029127,195.63969666280863
NGA_5km_029128,182.95703125
NGA_5km_029129,190.27223186728395
NGA_5km_029130,182.35980902777777
NGA_5km_029131,178.7084297839506
NGA_5km_029132,180.39093846450618
NGA_5km_029133,183.15432240604576
NGA_5km_029134,186.4350887345679
NGA_5km_029135,203.66273630401236
NGA_5km_029136,201.66013213734567
NGA_5km_029137,207.98507426697532
NGA_5km_029138,243.9708236882716
NGA_5km_029139,322.2186294367284
NGA_5km_029140,404.76348039215685
NGA_5km_029141,434.95558449074076
NGA_5km_029142,352.8635947145062
NGA_5km_029143,304.83434606481484
NGA_5km_029144,264.4322916666667
NGA_5km_029145,270.565055941358
NGA_5km_029146,272.66010802469134
NGA_5km_029147,296.1119068287037
NGA_5km_029148,315.7079503676471
NGA_5km_029149,338.00043402777777
NGA_5km_029150,332.0569782021605
NGA_5km_029151,353.48924575617286
NGA_5km_029152,351.77965856481484
NGA_5km_029153,352.04740547839504
NGA_5km_029154,323.8615451388889
NGA_5km_029155,356.1384548611111
NGA_5km_029156,385.48922589869284
NGA_5km_029157,376.73167438271605
NGA_5km_029158,397.8975212191358
NGA_5km_029159,440.47405478395063
NGA_5km_029160,464.064525462963
NGA_5km_029161,477.95650077160496
NGA_5km_029162,474.11622299382714
NGA_5km_029163,453.2900837418301
NGA_5km_029164,393.97964891975306
NGA_5km_029165,377.89957079475306
NGA_5km_029166,335.74361014660496
NGA_5km_029167,346.50120563271605
NGA_5km_029168,380.64011863425924
NGA_5km_029169,401.880787037037
