cell_id,mean_elevation_m
NGA_5km_019000,543.9787808641976
NGA_5km_019001,538.6510898919753
NGA_5km_019002,520.9026245915032
NGA_5km_019003,511.82175925925924
NGA_5km_019004,495.9992283950617
NGA_5km_019005,485.83584104938274
NGA_5km_019006,481.20341435185185
NGA_5km_019007,486.83453896604937
NGA_5km_019008,483.8236400462963
NGA_5km_019009,475.02379493464053
NGA_5km_019010,459.86183449074076
NGA_5km_019011,465.9867862654321
NGA_5km_019012,447.85542052469134
NGA_5km_019013,436.2633584104938
NGA_5km_019014,455.12355324074076
NGA_5km_019015,444.13551311728395
NGA_5km_019016,419.0823688271605
NGA_5km_019017,427.5407475490196
NGA_5km_019018,2.7921161416136187
NGA_5km_019019,11.881282232945262
NGA_5km_019020,14.440095124421296
NGA_5km_019021,17.751128773630402
NGA_5km_019022,28.89483868634259
NGA_5km_019023,34.32667824074074
NGA_5km_019024,38.32221137152778
NGA_5km_019025,27.43509476273148
NGA_5km_019026,39.197166160300924
NGA_5km_019027,48.30849162581699
NGA_5km_019028,56.22373529128087
NGA_5km_019029,64.19163532021605
NGA_5km_019030,69.56846788194444
NGA_5km_019031,79.20745322145062
NGA_5km_019032,82.97099247685185
NGA_5km_019033,64.10978491512346
NGA_5km_019034,75.59857855902777
NGA_5km_019035,60.82559104370915
NGA_5km_019036,23.517761983989196
NGA_5km_019037,16.850266444830247
NGA_5km_019038,34.737976827739196
NGA_5km_019039,36.27458887924383
NGA_5km_019040,88.05187837577161
NGA_5km_019041,121.59775270061728
NGA_5km_019042,129.6364634395425
NGA_5km_019043,141.96361400462962
NGA_5km_019044,131.77777777777777
NGA_5km_019045,160.76140528549382
NGA_5km_019046,145.3213493441358
NGA_5km_019047,53.91874035493827
NGA_5km_019048,42.504822530864196
NGA_5km_019049,34.00225453317901
NGA_5km_019050,33.21484055861928
NGA_5km_019051,31.823272328317902
NGA_5km_019052,55.050913869598766
NGA_5km_019053,72.95287181712963
NGA_5km_019054,80.64152319637346
NGA_5km_019055,69.04417438271605
NGA_5km_019056,57.165467062114196
NGA_5km_019057,50.07915900735294
NGA_5km_019058,64.42150125385803
NGA_5km_019059,90.53405309606481
NGA_5km_019060,69.64306640625
NGA_5km_019061,71.36451702353395
NGA_5km_019062,77.58072916666667
NGA_5km_019063,81.7607120466821
NGA_5km_019064,86.64357277199075
NGA_5km_019065,102.30438112745098
NGA_5km_019066,109.72919077932099
NGA_5km_019067,125.8495490933642
