cell_id,mean_elevation_m
NGA_5km_002000,245.58711902006172
NGA_5km_002001,256.3752652391975
NGA_5km_002002,265.7091503267974
NGA_5km_002003,245.38249903549382
NGA_5km_002004,252.09789737654322
NGA_5km_002005,262.4123746141975
NGA_5km_002006,265.1144386574074
NGA_5km_002007,243.66698013117283
NGA_5km_002008,242.952449845679
NGA_5km_002009,253.32228973765433
NGA_5km_002010,4.228459864486883
NGA_5km_002011,8.679753809799383
NGA_5km_002012,9.913310486593364
NGA_5km_002013,8.042564109519676
NGA_5km_002014,4.248049667458129
NGA_5km_002015,16.24731746720679
NGA_5km_002016,19.363739390432098
NGA_5km_002017,13.88599235628858
NGA_5km_002018,26.915198808834877
NGA_5km_002019,25.44385368441358
NGA_5km_002020,36.04147979359568
NGA_5km_002021,57.126772280092595
NGA_5km_002022,74.95242289624183
NGA_5km_002023,89.53851996527777
NGA_5km_002024,103.37854456018519
NGA_5km_002025,126.7142047646605
NGA_5km_002026,123.98840181327161
NGA_5km_002027,121.53442081404322
NGA_5km_002028,152.49848090277777
NGA_5km_002029,166.15903288398692
NGA_5km_002030,162.8516589506173
NGA_5km_002031,168.38252314814815
NGA_5km_002032,189.96850887345678
NGA_5km_002033,227.24877025462962
NGA_5km_002034,252.1327160493827
NGA_5km_002035,264.02580054012344
NGA_5km_002036,252.8646797839506
NGA_5km_002037,246.7998876633987
NGA_5km_002038,262.26957947530866
NGA_5km_002039,257.78414351851853
NGA_5km_002040,239.7938850308642
NGA_5km_002041,265.244140625
NGA_5km_002042,253.54142554012347
NGA_5km_002043,242.89101080246914
NGA_5km_002044,256.1476460375817
NGA_5km_002045,275.8563609182099
NGA_5km_002046,273.8655478395062
NGA_5km_002047,291.3811005015432
NGA_5km_002048,293.0641396604938
NGA_5km_002049,318.82691936728395
NGA_5km_002050,310.35498649691357
NGA_5km_002051,319.90678047839504
NGA_5km_002052,315.31964869281046
NGA_5km_002053,318.0230516975309
NGA_5km_002054,325.236930941358
NGA_5km_002055,350.00139853395063
NGA_5km_002056,352.91213348765433
NGA_5km_002057,358.7986111111111
NGA_5km_002058,378.8991608796296
NGA_5km_002059,386.2918113425926
NGA_5km_002060,385.88309334150324
NGA_5km_002061,389.6706452546296
NGA_5km_002062,405.940731095679
NGA_5km_002063,430.7762345679012
