cell_id,mean_elevation_m
NGA_5km_012000,37.184280960648145
NGA_5km_012001,38.31448929398148
NGA_5km_012002,42.156058517156865
NGA_5km_012003,66.16408058449075
NGA_5km_012004,107.82896894290124
NGA_5km_012005,158.99616608796296
NGA_5km_012006,158.5257282021605
NGA_5km_012007,156.83598572530863
NGA_5km_012008,183.0577136381173
NGA_5km_012009,199.10971966911765
NGA_5km_012010,180.60948350694446
NGA_5km_012011,157.2715205439815
NGA_5km_012012,187.24239245756172
NGA_5km_012013,234.8012393904321
NGA_5km_012014,268.5877700617284
NGA_5km_012015,285.62748360339504
NGA_5km_012016,288.4834587191358
NGA_5km_012017,266.12913602941177
NGA_5km_012018,317.3993537808642
NGA_5km_012019,374.8572289737654
NGA_5km_012020,390.86183449074076
NGA_5km_012021,323.11564429012344
NGA_5km_012022,168.21954571759258
NGA_5km_012023,97.46263744212963
NGA_5km_012024,67.86640383873457
NGA_5km_012025,72.90104166666667
NGA_5km_012026,117.29506655092592
NGA_5km_012027,192.60944733796296
NGA_5km_012028,200.8038676697531
NGA_5km_012029,265.0920621141975
NGA_5km_012030,258.95712770061726
NGA_5km_012031,345.9493634259259
NGA_5km_012032,402.76468035130716
NGA_5km_012033,471.45789930555554
NGA_5km_012034,476.8622202932099
NGA_5km_012035,419.9908854166667
NGA_5km_012036,298.38230613425924
NGA_5km_012037,279.6223476080247
NGA_5km_012038,334.50096450617286
NGA_5km_012039,303.9665798611111
NGA_5km_012040,203.6082771650327
NGA_5km_012041,204.24585262345678
NGA_5km_012042,204.58097029320987
NGA_5km_012043,287.2028838734568
NGA_5km_012044,362.781925154321
NGA_5km_012045,379.9386574074074
NGA_5km_012046,427.2315779320988
NGA_5km_012047,398.4441125408497
NGA_5km_012048,378.3517795138889
NGA_5km_012049,406.21884645061726
NGA_5km_012050,410.857349537037
NGA_5km_012051,309.8464988425926
NGA_5km_012052,232.18132716049382
NGA_5km_012053,322.0244984567901
NGA_5km_012054,330.55902777777777
NGA_5km_012055,231.1980698529412
NGA_5km_012056,209.17920524691357
NGA_5km_012057,178.35394965277777
NGA_5km_012058,169.2023051697531
NGA_5km_012059,146.139347029321
NGA_5km_012060,105.10059799382717
NGA_5km_012061,69.89097463348766
NGA_5km_012062,61.44968894675926
NGA_5km_012063,58.021675857843135
NGA_5km_012064,56.391698013117285
NGA_5km_012065,53.310546875
NGA_5km_012066,57.05961250964506
NGA_5km_012067,85.59535349151234
NGA_5km_012068,104.28761574074075
NGA_5km_012069,125.34714988425925
NGA_5km_012070,136.09313725490196
NGA_5km_012071,105.96988329475309
NGA_5km_012072,126.01586612654322
NGA_5km_012073,138.31844376929013
NGA_5km_012074,128.84264081790124
NGA_5km_012075,104.41924672067901
NGA_5km_012076,81.42804783950618
NGA_5km_012077,105.0097053433642
NGA_5km_012078,134.2863562091503
NGA_5km_012079,120.56288580246914
NGA_5km_012080,118.4840977044753
NGA_5km_012081,143.00740258487653
NGA_5km_012082,169.82335069444446
NGA_5km_012083,201.98750964506172
NGA_5km_012084,236.51854263117283
NGA_5km_012085,207.2063419117647
NGA_5km_012086,201.64283130787038
NGA_5km_012087,190.31577932098764
NGA_5km_012088,225.35382908950618
NGA_5km_012089,233.51948302469137
NGA_5km_012090,244.61101466049382
NGA_5km_012091,189.15773292824073
NGA_5km_012092,202.83012635030863
NGA_5km_012093,205.560444750817
NGA_5km_012094,190.90684076003086
NGA_5km_012095,216.7821662808642
NGA_5km_012096,257.25043402777777
NGA_5km_012097,286.0682146990741
NGA_5km_012098,321.00144675925924
NGA_5km_012099,322.9826388888889
NGA_5km_012100,302.4274209104938
NGA_5km_012101,332.9174836601307
NGA_5km_012102,335.92134452160496
NGA_5km_012103,350.27085744598764
NGA_5km_012104,382.6169945987654
NGA_5km_012105,390.9734278549383
NGA_5km_012106,379.43031442901236
NGA_5km_012107,397.52138792438274
NGA_5km_012108,398.0373774509804
NGA_5km_012109,412.05555555555554
NGA_5km_012110,440.0390625
NGA_5km_012111,463.78559027777777
NGA_5km_012112,450.6255787037037
NGA_5km_012113,433.46103395061726
NGA_5km_012114,433.1682098765432
NGA_5km_012115,422.6184413580247
NGA_5km_012116,440.33088235294116
NGA_5km_012117,453.2668788580247
NGA_5km_012118,459.1605420524691
NGA_5km_012119,455.7001350308642
NGA_5km_012120,460.9190779320988
NGA_5km_012121,468.38218557098764
NGA_5km_012122,487.2879050925926
NGA_5km_012123,489.96992442810455
NGA_5km_012124,468.7686149691358
NGA_5km_012125,477.3100887345679
NGA_5km_012126,472.7295524691358
NGA_5km_012127,445.0168788580247
NGA_5km_012128,429.51644483024694
NGA_5km_012129,433.5662615740741
NGA_5km_012130,431.65277777777777
NGA_5km_012131,432.9174836601307
