cell_id,mean_elevation_m
NGA_5km_036000,227.23654513888889
NGA_5km_036001,229.45355902777777
NGA_5km_036002,221.70052083333334
NGA_5km_036003,223.59182098765433
NGA_5km_036004,215.49242862654322
NGA_5km_036005,216.04012345679013
NGA_5km_036006,224.82756331699346
NGA_5km_036007,216.5784866898148
NGA_5km_036008,205.18504050925927
NGA_5km_036009,202.4386332947531
NGA_5km_036010,185.46268566743828
NGA_5km_036011,196.9757426697531
NGA_5km_036012,205.26343074845678
NGA_5km_036013,177.5831645447531
NGA_5km_036014,169.3688725490196
NGA_5km_036015,168.32414641203704
NGA_5km_036016,177.38087143132717
NGA_5km_036017,194.83429783950618
NGA_5km_036018,215.83391203703704
NGA_5km_036019,233.67872299382717
NGA_5km_036020,255.27358217592592
NGA_5km_036021,232.6105749591503
NGA_5km_036022,297.40574363425924
NGA_5km_036023,400.2121913580247
NGA_5km_036024,357.5069685570988
NGA_5km_036025,391.177059220679
NGA_5km_036026,387.9049479166667
NGA_5km_036027,406.43831983024694
NGA_5km_036028,420.6067226080247
NGA_5km_036029,450.06188725490193
NGA_5km_036030,461.5863233024691
NGA_5km_036031,483.1892361111111
NGA_5km_036032,491.2813946759259
NGA_5km_036033,524.8054591049382
NGA_5km_036034,516.8639081790124
NGA_5km_036035,497.8326099537037
NGA_5km_036036,485.55140817901236
NGA_5km_036037,479.86325571895424
NGA_5km_036038,478.61858603395063
NGA_5km_036039,471.1926601080247
NGA_5km_036040,461.89105902777777
NGA_5km_036041,457.2008584104938
NGA_5km_036042,449.05068479938274
NGA_5km_036043,451.64183063271605
NGA_5km_036044,470.3772977941176
NGA_5km_036045,470.8415316358025
NGA_5km_036046,454.07036072530866
NGA_5km_036047,457.5541087962963
NGA_5km_036048,472.3262924382716
NGA_5km_036049,455.31799768518516
NGA_5km_036050,453.79658564814815
NGA_5km_036051,444.6397087191358
NGA_5km_036052,424.78290951797385
NGA_5km_036053,407.72178819444446
NGA_5km_036054,397.22603202160496
NGA_5km_036055,398.5954378858025
NGA_5km_036056,389.77372685185185
NGA_5km_036057,379.8946759259259
NGA_5km_036058,374.7126736111111
NGA_5km_036059,370.29733455882354
NGA_5km_036060,365.10836226851853
NGA_5km_036061,361.00974151234567
NGA_5km_036062,358.58596161265433
NGA_5km_036063,361.474006558642
NGA_5km_036064,358.3386863425926
NGA_5km_036065,355.66401427469134
NGA_5km_036066,351.8786651234568
NGA_5km_036067,347.60850694444446
NGA_5km_036068,343.4617091049383
NGA_5km_036069,336.64585744598764
NGA_5km_036070,336.96428915895063
NGA_5km_036071,336.522087191358
NGA_5km_036072,333.86774209104937
NGA_5km_036073,330.75055459104937
NGA_5km_036074,330.87196180555554
NGA_5km_036075,330.01205065359477
NGA_5km_036076,331.68161651234567
NGA_5km_036077,324.1314380787037
NGA_5km_036078,317.2550636574074
NGA_5km_036079,314.568962191358
NGA_5km_036080,311.0544945987654
NGA_5km_036081,309.20934606481484
NGA_5km_036082,307.5691891339869
NGA_5km_036083,305.407600308642
NGA_5km_036084,303.688850308642
NGA_5km_036085,301.70341435185185
NGA_5km_036086,300.14539930555554
NGA_5km_036087,298.6605420524691
NGA_5km_036088,298.0994646990741
NGA_5km_036089,297.9723186728395
NGA_5km_036090,298.5420496323529
NGA_5km_036091,298.65933641975306
NGA_5km_036092,298.35296103395063
NGA_5km_036093,298.160831404321
NGA_5km_036094,299.50385802469134
NGA_5km_036095,299.6667148919753
NGA_5km_036096,299.2559799382716
NGA_5km_036097,298.52448427287584
NGA_5km_036098,298.740837191358
NGA_5km_036099,299.11291956018516
NGA_5km_036100,299.7241512345679
NGA_5km_036101,299.3645351080247
NGA_5km_036102,299.0321662808642
NGA_5km_036103,298.0139371141975
NGA_5km_036104,298.45746527777777
NGA_5km_036105,299.0299734477124
NGA_5km_036106,299.17464795524694
NGA_5km_036107,297.9940200617284
NGA_5km_036108,297.3400848765432
NGA_5km_036109,296.32518325617286
NGA_5km_036110,206.0772824754902
NGA_5km_036111,193.52179783950618
NGA_5km_036112,184.91124131944446
NGA_5km_036113,181.95584972993828
NGA_5km_036114,180.5801986882716
NGA_5km_036115,177.279296875
NGA_5km_036116,176.10616801697532
NGA_5km_036117,173.05902777777777
NGA_5km_036118,169.05983200571896
NGA_5km_036119,174.96912374614197
NGA_5km_036120,180.71399980709876
NGA_5km_036121,195.98249421296296
NGA_5km_036122,214.53477044753086
NGA_5km_036123,230.57923418209876
NGA_5km_036124,251.01938657407408
NGA_5km_036125,257.4153390522876
NGA_5km_036126,354.31064332561726
NGA_5km_036127,436.38329475308643
NGA_5km_036128,521.6754436728395
NGA_5km_036129,453.85426311728395
NGA_5km_036130,465.7859278549383
NGA_5km_036131,451.0871913580247
NGA_5km_036132,426.5234375
NGA_5km_036133,422.609885620915
NGA_5km_036134,449.2388599537037
NGA_5km_036135,478.696662808642
NGA_5km_036136,546.9810956790124
NGA_5km_036137,572.4937789351852
NGA_5km_036138,570.7719907407408
NGA_5km_036139,526.546875
NGA_5km_036140,504.28694058641975
NGA_5km_036141,497.6513480392157
NGA_5km_036142,501.2645640432099
NGA_5km_036143,474.58931327160496
NGA_5km_036144,488.6101466049383
NGA_5km_036145,473.4839891975309
NGA_5km_036146,453.57002314814815
NGA_5km_036147,470.291087962963
NGA_5km_036148,467.02639910130716
NGA_5km_036149,473.8826678240741
NGA_5km_036150,467.5973186728395
NGA_5km_036151,471.6575038580247
NGA_5km_036152,480.28356481481484
NGA_5km_036153,460.4373553240741
NGA_5km_036154,461.462287808642
NGA_5km_036155,442.3884066358025
NGA_5km_036156,414.15719464869284
NGA_5km_036157,398.888069058642
NGA_5km_036158,388.365909529321
NGA_5km_036159,390.3792438271605
NGA_5km_036160,382.7256462191358
NGA_5km_036161,375.447193287037
NGA_5km_036162,374.0080054012346
NGA_5km_036163,370.93778084150324
NGA_5km_036164,364.35161072530866
NGA_5km_036165,359.993537808642
NGA_5km_036166,354.9740306712963
NGA_5km_036167,354.386791087963
NGA_5km_036168,354.32339891975306
NGA_5km_036169,352.9339795524691
NGA_5km_036170,348.85783179012344
NGA_5km_036171,343.7270986519608
NGA_5km_036172,338.992862654321
NGA_5km_036173,338.91898148148147
NGA_5km_036174,339.05856963734567
NGA_5km_036175,335.9559702932099
NGA_5km_036176,332.6850887345679
NGA_5km_036177,334.17045235339504
NGA_5km_036178,332.9972029320988
NGA_5km_036179,332.0477941176471
NGA_5km_036180,323.0143711419753
NGA_5km_036181,315.5315875771605
NGA_5km_036182,312.93446180555554
NGA_5km_036183,311.3415798611111
NGA_5km_036184,309.59965760030866
NGA_5km_036185,308.15960165895063
NGA_5km_036186,306.30540236928107
NGA_5km_036187,304.22810570987656
NGA_5km_036188,302.5186873070988
NGA_5km_036189,301.06872106481484
NGA_5km_036190,299.32221739969134
NGA_5km_036191,297.9169319058642
NGA_5km_036192,297.2015094521605
NGA_5km_036193,296.8889371141975
NGA_5km_036194,297.33956290849676
NGA_5km_036195,297.22178819444446
NGA_5km_036196,297.37217881944446
NGA_5km_036197,297.02594521604937
NGA_5km_036198,298.38734567901236
NGA_5km_036199,298.31071566358025
NGA_5km_036200,298.0830922067901
NGA_5km_036201,297.8444393382353
NGA_5km_036202,298.36378761574076
NGA_5km_036203,298.21846064814815
NGA_5km_036204,298.40769675925924
NGA_5km_036205,298.27830825617286
NGA_5km_036206,297.70452353395063
NGA_5km_036207,297.66722125771605
NGA_5km_036208,296.9606963734568
NGA_5km_036209,297.62525531045753
NGA_5km_036210,298.0013744212963
NGA_5km_036211,298.6765046296296
NGA_5km_036212,296.67066936728395
NGA_5km_036213,296.1931423611111
NGA_5km_036214,189.62577160493828
NGA_5km_036215,186.91883680555554
NGA_5km_036216,192.369140625
NGA_5km_036217,183.7801528742284
NGA_5km_036218,199.97099247685185
NGA_5km_036219,226.04861111111111
NGA_5km_036220,252.67944637345678
NGA_5km_036221,270.03069540895063
NGA_5km_036222,278.68767871732024
NGA_5km_036223,379.60932677469134
NGA_5km_036224,516.401138117284
NGA_5km_036225,627.7701581790124
NGA_5km_036226,630.3391203703703
NGA_5km_036227,511.6004533179012
NGA_5km_036228,465.4640721450617
NGA_5km_036229,461.8084490740741
NGA_5km_036230,439.93075980392155
NGA_5km_036231,463.38671875
NGA_5km_036232,488.853587962963
NGA_5km_036233,582.9656635802469
