cell_id,mean_elevation_m
NGA_5km_034000,454.30497685185185
NGA_5km_034001,446.88343942901236
NGA_5km_034002,459.2088439542484
NGA_5km_034003,439.18296682098764
NGA_5km_034004,408.66637731481484
NGA_5km_034005,419.83048804012344
NGA_5km_034006,389.090518904321
NGA_5km_034007,360.6575038580247
NGA_5km_034008,336.4259259259259
NGA_5km_034009,315.15430964052285
NGA_5km_034010,288.43629436728395
NGA_5km_034011,265.98480902777777
NGA_5km_034012,254.59481095679013
NGA_5km_034013,254.11899594907408
NGA_5km_034014,247.0971981095679
NGA_5km_034015,237.04277584876544
NGA_5km_034016,231.07011959876544
NGA_5km_034017,257.43193423202615
NGA_5km_034018,260.4708236882716
NGA_5km_034019,201.89460358796296
NGA_5km_034020,150.34510030864197
NGA_5km_034021,144.48969184027777
NGA_5km_034022,148.6800250771605
NGA_5km_034023,151.77078510802468
NGA_5km_034024,154.69143178104576
NGA_5km_034025,168.00470196759258
NGA_5km_034026,197.3915653935185
NGA_5km_034027,180.12415605709876
NGA_5km_034028,185.49686535493828
NGA_5km_034029,216.70343846450618
NGA_5km_034030,238.97067901234567
NGA_5km_034031,279.4779369212963
NGA_5km_034032,240.2298304738562
NGA_5km_034033,227.0038097993827
NGA_5km_034034,220.44560185185185
NGA_5km_034035,216.3292582947531
NGA_5km_034036,211.9601176697531
NGA_5km_034037,236.13990162037038
NGA_5km_034038,327.23864293981484
NGA_5km_034039,481.00834297839504
NGA_5km_034040,475.8389501633987
NGA_5km_034041,517.2009066358024
NGA_5km_034042,561.687644675926
NGA_5km_034043,563.0270061728395
NGA_5km_034044,578.841049382716
NGA_5km_034045,658.1338252314815
NGA_5km_034046,638.0197723765432
NGA_5km_034047,605.8769914215686
NGA_5km_034048,625.0507330246913
NGA_5km_034049,658.956886574074
NGA_5km_034050,669.9475308641976
NGA_5km_034051,677.3651138117284
NGA_5km_034052,625.1883198302469
NGA_5km_034053,603.6728395061729
NGA_5km_034054,572.4206211419753
NGA_5km_034055,545.7101715686274
NGA_5km_034056,525.4739101080247
NGA_5km_034057,501.64293981481484
NGA_5km_034058,474.50327932098764
NGA_5km_034059,456.2668788580247
NGA_5km_034060,446.5349633487654
NGA_5km_034061,429.90764853395063
NGA_5km_034062,420.83527369281046
NGA_5km_034063,416.75622106481484
NGA_5km_034064,409.77440200617286
NGA_5km_034065,407.64896797839504
NGA_5km_034066,426.0666473765432
NGA_5km_034067,414.95264274691357
NGA_5km_034068,400.27015817901236
NGA_5km_034069,390.12360146604937
NGA_5km_034070,386.9115349264706
NGA_5km_034071,390.9808063271605
NGA_5km_034072,381.16755883487656
NGA_5km_034073,365.2665412808642
NGA_5km_034074,376.4714988425926
NGA_5km_034075,381.8260513117284
NGA_5km_034076,377.9386574074074
NGA_5km_034077,370.9855324074074
NGA_5km_034078,363.7281454248366
NGA_5km_034079,358.93947723765433
NGA_5km_034080,355.0877700617284
NGA_5km_034081,350.7520736882716
