cell_id,mean_elevation_m
NGA_5km_033000,337.69762731481484
NGA_5km_033001,334.197868441358
NGA_5km_033002,334.4458912037037
NGA_5km_033003,335.73133680555554
NGA_5km_033004,335.59196566358025
NGA_5km_033005,333.8142871732026
NGA_5km_033006,331.3307773919753
NGA_5km_033007,330.5691309799383
NGA_5km_033008,329.65113811728395
NGA_5km_033009,323.5095003858025
NGA_5km_033010,328.8878761574074
NGA_5km_033011,330.99561149691357
NGA_5km_033012,331.92744076797385
NGA_5km_033013,332.0943287037037
NGA_5km_033014,327.2156876929012
NGA_5km_033015,329.54195601851853
NGA_5km_033016,332.3166714891975
NGA_5km_033017,331.4163290895062
NGA_5km_033018,330.717399691358
NGA_5km_033019,332.13966049382714
NGA_5km_033020,1241.6598183391004
NGA_5km_033021,1602.1280637254902
NGA_5km_033022,1632.3524305555557
NGA_5km_033023,1140.8704044117646
NGA_5km_033024,955.8830678104575
NGA_5km_033025,1032.3194444444443
NGA_5km_033026,1239.9280024509803
NGA_5km_033027,1280.069204152249
NGA_5km_033028,1433.063316993464
NGA_5km_033029,1648.388888888889
NGA_5km_033030,1223.6416462418301
NGA_5km_033031,1190.6235702614379
NGA_5km_033032,852.2587826797386
NGA_5km_033033,679.6702410130719
NGA_5km_033034,668.7242647058823
NGA_5km_033035,498.754865916955
NGA_5km_033036,377.7438725490196
NGA_5km_033037,361.42603656045753
NGA_5km_033038,346.60973243464053
NGA_5km_033039,389.34030330882354
NGA_5km_033040,400.00837418300654
NGA_5km_033041,446.40650531045753
NGA_5km_033042,438.99351211072667
NGA_5km_033043,470.68555964052285
NGA_5km_033044,528.8062704248366
NGA_5km_033045,757.5518790849674
NGA_5km_033046,1092.90829248366
NGA_5km_033047,961.3934844771242
NGA_5km_033048,955.0263480392157
NGA_5km_033049,909.2146650326797
NGA_5km_033050,444.282223183391
NGA_5km_033051,646.4931576797386
NGA_5km_033052,1159.9133986928105
NGA_5km_033053,861.8089256535948
NGA_5km_033054,554.4558823529412
NGA_5km_033055,783.0511642156863
NGA_5km_033056,1086.0671977124182
NGA_5km_033057,1345.3487540849674
NGA_5km_033058,1142.020544982699
NGA_5km_033059,1139.624897875817
NGA_5km_033060,828.2912581699346
NGA_5km_033061,818.8595281862745
NGA_5km_033062,563.389808006536
NGA_5km_033063,494.98253676470586
NGA_5km_033064,526.9144199346405
NGA_5km_033065,562.1733888408304
NGA_5km_033066,526.0872651143791
NGA_5km_033067,482.65441176470586
NGA_5km_033068,487.937397875817
NGA_5km_033069,323.33527369281046
NGA_5km_033070,268.38097426470586
NGA_5km_033071,264.1607434640523
NGA_5km_033072,271.3056066176471
NGA_5km_033073,197.2982266435986
NGA_5km_033074,172.72251582924838
NGA_5km_033075,146.29282832924838
NGA_5km_033076,140.3670343137255
NGA_5km_033077,135.3935355392157
NGA_5km_033078,141.0926011029412
NGA_5km_033079,266.90933925653593
NGA_5km_033080,418.0496053200692
NGA_5km_033081,450.9045649509804
NGA_5km_033082,457.58226102941177
NGA_5km_033083,551.3234272875817
NGA_5km_033084,698.5849673202614
NGA_5km_033085,715.9405637254902
NGA_5km_033086,527.8702001633987
NGA_5km_033087,309.2527828839869
NGA_5km_033088,241.79898356401384
NGA_5km_033089,253.97804330065358
NGA_5km_033090,222.84288194444446
NGA_5km_033091,249.76593137254903
NGA_5km_033092,280.02938623366015
NGA_5km_033093,223.44199346405227
NGA_5km_033094,242.7640931372549
NGA_5km_033095,292.5052083333333
NGA_5km_033096,335.00005406574394
NGA_5km_033097,395.2562295751634
