cell_id,mean_elevation_m
NGA_5km_024000,1133.169730392157
NGA_5km_024001,1253.2267156862745
NGA_5km_024002,1302.7069035947713
NGA_5km_024003,1334.0108131487889
NGA_5km_024004,1353.98641748366
NGA_5km_024005,1322.5882352941176
NGA_5km_024006,1266.2743055555557
NGA_5km_024007,1269.938316993464
NGA_5km_024008,1259.8668300653594
NGA_5km_024009,1213.5846609477123
NGA_5km_024010,1173.1011029411766
NGA_5km_024011,1162.9313725490197
NGA_5km_024012,1160.0214460784314
NGA_5km_024013,1174.5588235294117
NGA_5km_024014,1239.0744485294117
NGA_5km_024015,1290.4575163398692
NGA_5km_024016,1345.1441993464052
NGA_5km_024017,1215.640625
NGA_5km_024018,921.8855968858131
NGA_5km_024019,897.2142565359477
NGA_5km_024020,858.4315767973857
NGA_5km_024021,837.9301981209151
NGA_5km_024022,829.5030637254902
NGA_5km_024023,841.3419628267974
NGA_5km_024024,840.6913807189543
NGA_5km_024025,865.7880923202614
NGA_5km_024026,914.9719939446367
NGA_5km_024027,980.8633578431372
NGA_5km_024028,1008.9223856209151
NGA_5km_024029,1107.8646854575163
NGA_5km_024030,966.5683210784314
NGA_5km_024031,863.6319444444445
NGA_5km_024032,808.2692504084968
NGA_5km_024033,784.4727508650519
NGA_5km_024034,809.7939133986928
NGA_5km_024035,828.8700980392157
NGA_5km_024036,827.3202103758169
NGA_5km_024037,792.5900735294117
NGA_5km_024038,703.8788296568628
NGA_5km_024039,677.2848243464052
NGA_5km_024040,739.5277267156863
NGA_5km_024041,870.8925173010381
NGA_5km_024042,768.9706903594771
NGA_5km_024043,739.0898182189543
NGA_5km_024044,584.7496425653595
NGA_5km_024045,526.8959354575163
NGA_5km_024046,506.34671160130716
NGA_5km_024047,500.44127859477123
NGA_5km_024048,506.2457288062284
NGA_5km_024049,491.42003676470586
NGA_5km_024050,481.0956392973856
NGA_5km_024051,477.65420751633985
NGA_5km_024052,465.84911151960785
NGA_5km_024053,457.265114379085
NGA_5km_024054,447.47058823529414
NGA_5km_024055,441.38684640522877
NGA_5km_024056,450.2995242214533
NGA_5km_024057,437.6811172385621
NGA_5km_024058,431.92304942810455
NGA_5km_024059,428.75423815359477
NGA_5km_024060,426.9869791666667
NGA_5km_024061,427.59765625
NGA_5km_024062,419.7062397875817
NGA_5km_024063,410.1656964869281
NGA_5km_024064,403.671875
NGA_5km_024065,395.2806627859477
NGA_5km_024066,393.4145986519608
NGA_5km_024067,392.23330269607845
NGA_5km_024068,388.4678308823529
NGA_5km_024069,388.2285539215686
NGA_5km_024070,387.6109068627451
NGA_5km_024071,385.6939338235294
NGA_5km_024072,384.4309640522876
NGA_5km_024073,382.9986979166667
NGA_5km_024074,381.4088541666667
NGA_5km_024075,381.9869025735294
NGA_5km_024076,383.00837418300654
NGA_5km_024077,382.6530330882353
NGA_5km_024078,381.945618872549
NGA_5km_024079,381.27660034602076
NGA_5km_024080,380.40640318627453
NGA_5km_024081,379.71818831699346
NGA_5km_024082,378.91020731209153
NGA_5km_024083,379.5834099264706
NGA_5km_024084,92.82809946895425
NGA_5km_024085,104.94123746141975
NGA_5km_024086,133.8134403935185
NGA_5km_024087,139.68055555555554
NGA_5km_024088,170.45970775462962
NGA_5km_024089,150.168643904321
NGA_5km_024090,256.0169270833333
NGA_5km_024091,276.89899918300654
NGA_5km_024092,161.078800154321
NGA_5km_024093,162.86082175925927
NGA_5km_024094,247.13266782407408
NGA_5km_024095,292.46431327160496
NGA_5km_024096,270.81956500771605
NGA_5km_024097,274.3219280478395
NGA_5km_024098,209.81416377314815
NGA_5km_024099,218.87548508986927
NGA_5km_024100,177.33851755401236
NGA_5km_024101,146.64615885416666
NGA_5km_024102,154.93465470679013
NGA_5km_024103,170.22960069444446
NGA_5km_024104,164.87917148919752
NGA_5km_024105,132.2821662808642
NGA_5km_024106,126.35660204475309
NGA_5km_024107,150.76083792892157
NGA_5km_024108,186.43315972222223
