cell_id,longitude,latitude,trees,shrubland,grassland,cropland,built_up,bare_sparse_vegetation,snow_ice,permanent_water_bodies,herbaceous_wetland,mangroves,moss_lichen,fraction_sum,valid_pixel_count,mean_elevation_m,mean_slope_deg
NGA_5km_021171,8.28462518168227,11.759038552716447,0.0007181758333832,0.0315962161990896,0.2912026980880328,0.6190499660274668,0.056292311646066,0.0011089479780181,0.0,3.168422794337676e-05,0.0,0.0,0.0,1.0,284053,481.20659722222223,0.27026042231807
NGA_5km_005893,4.871027102028086,13.031205175481498,0.0099302058485731,0.2102871278381482,0.1932962275819418,0.5571481579644845,0.0073822775863592,0.0162664546338015,0.0,0.0010424949200459,0.0046470536266454,0.0,0.0,1.0,282975,245.6185860339506,1.0767989923924577
NGA_5km_032816,11.653307497130474,10.745848827131825,0.0002310358105506,0.0130325200406062,0.1799418909931039,0.7865194105086288,0.0196975531207337,0.0005775895263765,0.0,0.0,0.0,0.0,0.0,1.0,285670,317.8522858796296,1.00637968086902
NGA_5km_027143,9.946508457303382,11.186803301758893,0.0,0.6089376462047269,0.0742676173408012,0.3154164226267926,0.0012941419908743,8.417183680483707e-05,0.0,0.0,0.0,0.0,0.0,1.0,285131,473.1027199074074,0.2949066868534795
NGA_5km_021541,8.37445671009422,11.010500523231396,0.003241502432877,0.0070465922217943,0.0080617495711835,0.9674974621066266,0.0132845591066615,0.0008506318479364,0.0,0.0,1.7502712920502678e-05,0.0,0.0,1.0,285670,724.2050142973857,0.6034005358328227
NGA_5km_018086,7.610888718592628,7.419897240608876,0.6255341768985428,0.0789852202372266,0.0547170860172465,0.0481888363108266,0.1905595741871825,0.0020151063489747,0.0,0.0,0.0,0.0,0.0,1.0,287826,398.6009355709877,1.4124635296103396
NGA_5km_034999,12.416875488632066,12.768512417698735,0.0,0.0014285008853178,0.9945117348702356,0.0028922733974336,0.0011674908470128,0.0,0.0,0.0,0.0,0.0,0.0,1.0,283514,315.6023029003268,0.1467663883383757
NGA_5km_008119,5.410016272499799,12.06667694535256,4.2245637257835686e-05,0.0993194931931717,0.5258596107064527,0.3598131334645295,9.153221405864398e-05,0.0148739847845296,0.0,0.0,0.0,0.0,0.0,1.0,284053,272.6520061728395,0.5364166071385513
NGA_5km_010879,5.993921207177489,12.812313659417557,0.0110259105370457,0.4900534012429721,0.4977073442581319,9.523339235452218e-05,0.0,0.0011181105694956,0.0,0.0,0.0,0.0,0.0,1.0,283514,328.73350694444446,0.4063739541136188
NGA_5km_014664,6.802404962885059,12.85610728728849,8.127926495273435e-05,0.0075943104514533,0.420160791589363,0.5678063433165474,0.0040568954854669,0.0002544394381129,0.0,0.0,4.594045410371941e-05,0.0,0.0,1.0,282975,423.5815489969136,0.5007091569311825
NGA_5km_034010,12.05754937498426,9.020198264315193,0.0142540386442825,0.0249924291736138,0.0638316387445307,0.8374621893785656,0.0513493475165949,0.0079571995948302,0.0,0.000153156947582,0.0,0.0,0.0,1.0,287287,288.43629436728395,0.7965438277633102
NGA_5km_032714,11.608391732924495,12.680887189856149,0.0,1.0581488039391353e-05,0.7778980932158553,0.2220913252961053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,283514,333.84318831699346,0.0888271768108692
NGA_5km_013620,6.577826141855178,12.11059669188621,3.520469771486307e-06,0.0080372324883032,0.115052472601944,0.8702601275114151,0.0054426462667178,0.0011300707966471,0.0,3.872516748634938e-05,3.520469771486307e-05,0.0,0.0,1.0,284053,475.7123842592592,0.6405969313633295
NGA_5km_012435,6.3532473208252975,6.260419875424931,0.5816811120649074,0.0164379863207155,0.3319614820147869,0.0034475119762966,0.064800071996234,0.0016718356270595,0.0,0.0,0.0,0.0,0.0,1.0,288904,240.5006893382353,0.5561977710599214
NGA_5km_014615,6.802404962885059,10.701717489048734,0.0595656031788897,0.2373330153508387,0.3036323654741154,0.3789030305368409,0.0205063637415784,5.96217177367596e-05,0.0,0.0,0.0,0.0,0.0,1.0,285131,571.0337577160494,1.4821266833646798
