cell_id,longitude,latitude,trees,shrubland,grassland,cropland,built_up,bare_sparse_vegetation,snow_ice,permanent_water_bodies,herbaceous_wetland,mangroves,moss_lichen,fraction_sum,valid_pixel_count
NGA_5km_021171,8.28462518168227,11.759038552716449,0.0007181758333832067,0.03159621619908961,0.29120269808803284,0.6190499660274668,0.05629231164606605,0.0011089479780181867,0.0,3.168422794337676e-05,0.0,0.0,0.0,1.0,284053
NGA_5km_005893,4.871027102028086,13.031205175481498,0.009930205848573195,0.21028712783814824,0.19329622758194187,0.5571481579644845,0.007382277586359219,0.016266454633801573,0.0,0.0010424949200459404,0.004647053626645464,0.0,0.0,0.9999999999999999,282975
NGA_5km_032816,11.653307497130474,10.745848827131825,0.00023103581055063536,0.013032520040606293,0.17994189099310393,0.7865194105086288,0.019697553120733714,0.0005775895263765884,0.0,0.0,0.0,0.0,0.0,1.0,285670
NGA_5km_027143,9.946508457303382,11.186803301758891,0.0,0.6089376462047269,0.07426761734080124,0.3154164226267926,0.00129414199087437,8.417183680483707e-05,0.0,0.0,0.0,0.0,0.0,1.0,285131
NGA_5km_021541,8.37445671009422,11.010500523231395,0.003241502432877096,0.007046592221794378,0.008061749571183533,0.9674974621066266,0.013284559106661533,0.0008506318479364302,0.0,0.0,1.7502712920502678e-05,0.0,0.0,0.9999999999999999,285670
NGA_5km_018086,7.610888718592628,7.419897240608876,0.6255341768985428,0.07898522023722666,0.05471708601724653,0.04818883631082668,0.19055957418718253,0.0020151063489747276,0.0,0.0,0.0,0.0,0.0,1.0,287826
NGA_5km_034999,12.416875488632066,12.768512417698735,0.0,0.0014285008853178326,0.9945117348702357,0.0028922733974336362,0.001167490847012846,0.0,0.0,0.0,0.0,0.0,0.0,1.0,283514
NGA_5km_008119,5.410016272499799,12.06667694535256,4.2245637257835686e-05,0.0993194931931717,0.5258596107064527,0.35981313346452953,9.153221405864398e-05,0.014873984784529648,0.0,0.0,0.0,0.0,0.0,1.0,284053
NGA_5km_010879,5.993921207177489,12.812313659417555,0.01102591053704579,0.49005340124297214,0.4977073442581319,9.523339235452218e-05,0.0,0.0011181105694956864,0.0,0.0,0.0,0.0,0.0,1.0,283514
NGA_5km_014664,6.802404962885059,12.85610728728849,8.127926495273435e-05,0.007594310451453309,0.42016079158936304,0.5678063433165474,0.004056895485466914,0.0002544394381129075,0.0,0.0,4.594045410371941e-05,0.0,0.0,1.0,282975
