cell_id,mean_slope_deg
NGA_5km_034000,1.9156494140625
NGA_5km_034001,0.8849184012707368
NGA_5km_034002,0.9246048272824755
NGA_5km_034003,1.1437720781491127
NGA_5km_034004,1.1282989125192902
NGA_5km_034005,1.0612288110050154
NGA_5km_034006,1.0216509030189043
NGA_5km_034007,1.0007961885428722
NGA_5km_034008,0.9767615235882041
NGA_5km_034009,0.9457451315487132
NGA_5km_034010,0.7965438277633102
NGA_5km_034011,0.5720026463638117
NGA_5km_034012,0.5798921938295718
NGA_5km_034013,0.810461915569541
NGA_5km_034014,0.8730032650040992
NGA_5km_034015,0.6450674268934462
NGA_5km_034016,0.7118267483181424
NGA_5km_034017,0.9724164975234886
NGA_5km_034018,1.4371059088059415
NGA_5km_034019,1.2473086133415316
NGA_5km_034020,0.4060598773720824
NGA_5km_034021,0.09508796974464699
NGA_5km_034022,0.14759850207670236
NGA_5km_034023,0.20313978783878278
NGA_5km_034024,0.15519548553267334
NGA_5km_034025,0.689792115011333
NGA_5km_034026,1.1843272079656153
NGA_5km_034027,0.4003211598337432
NGA_5km_034028,0.4567143946518133
NGA_5km_034029,0.8458149285964024
NGA_5km_034030,1.003532032907745
NGA_5km_034031,2.1484540774498457
NGA_5km_034032,0.8257348553027982
NGA_5km_034033,0.8802073914327739
NGA_5km_034034,0.8186135939609858
NGA_5km_034035,0.8350824426721644
NGA_5km_034036,0.6123075602967062
NGA_5km_034037,1.0410889990535783
NGA_5km_034038,3.095096352659626
NGA_5km_034039,5.331062976224922
NGA_5km_034040,3.2054279801113155
NGA_5km_034041,5.014691764925733
NGA_5km_034042,5.7772951479311345
NGA_5km_034043,3.521343089916088
NGA_5km_034044,3.3540415822723766
NGA_5km_034045,1.1755281613196855
NGA_5km_034046,1.0564901092906056
NGA_5km_034047,1.279901242723652
NGA_5km_034048,0.7128351470570505
NGA_5km_034049,1.138213922948013
NGA_5km_034050,1.302803510501061
NGA_5km_034051,1.432976993513696
NGA_5km_034052,0.6540210865162037
NGA_5km_034053,0.7113906483591339
NGA_5km_034054,0.5298019220799576
NGA_5km_034055,0.3596844641990911
NGA_5km_034056,0.43180790653935186
NGA_5km_034057,0.6385034631799769
NGA_5km_034058,0.6128064379279996
NGA_5km_034059,0.39496902183250143
NGA_5km_034060,0.3470932289406105
NGA_5km_034061,0.2524325994797695
NGA_5km_034062,0.21721035826439952
NGA_5km_034063,0.2852837362407166
NGA_5km_034064,0.31032717669451676
NGA_5km_034065,0.3617096889166184
NGA_5km_034066,0.39326020229009934
NGA_5km_034067,0.4528250046718268
NGA_5km_034068,0.4893645298333816
NGA_5km_034069,0.48237826500409914
NGA_5km_034070,0.45260540332669524
NGA_5km_034071,0.37145120126229747
NGA_5km_034072,0.30847266868308737
NGA_5km_034073,0.27342101674021024
NGA_5km_034074,0.25094898836112317
NGA_5km_034075,0.0626125983249994
NGA_5km_034076,0.08226578912617248
NGA_5km_034077,0.09716632631089953
NGA_5km_034078,0.13119796054815155
NGA_5km_034079,0.11572717737268519
NGA_5km_034080,0.1085776811764564
NGA_5km_034081,0.11308810151653526
NGA_5km_034082,0.16775597466362846
NGA_5km_034083,0.12778107913923853
NGA_5km_034084,0.14483404748233747
NGA_5km_034085,0.19610555810866012
NGA_5km_034086,0.17876245946059993
NGA_5km_034087,0.18084614365189164
NGA_5km_034088,0.1726955719936041
NGA_5km_034089,0.1408294395164207
NGA_5km_034090,0.14697253851243008
NGA_5km_034091,0.1391652896080488
NGA_5km_034092,0.21513225414134837
NGA_5km_034093,0.3796988094554228
NGA_5km_034094,0.3645920930085359
NGA_5km_034095,0.1493944945158782
NGA_5km_034096,0.24489379223482108
NGA_5km_034097,0.25340409926426266
NGA_5km_034098,0.19410844496738763
NGA_5km_034099,0.2573985817991657
NGA_5km_034100,0.4028733696033752
NGA_5km_034101,0.27903163580246915
NGA_5km_034102,0.24012546774781782
NGA_5km_034103,0.4404131100501543
NGA_5km_034104,0.6944794831452547
NGA_5km_034105,3.8125598383884802
NGA_5km_034106,1.80645751953125
NGA_5km_034107,1.5899129630693423
NGA_5km_034108,1.6006231076989619
NGA_5km_034109,1.5557798497817095
NGA_5km_034110,1.1600140340967116
NGA_5km_034111,1.3794844882940156
NGA_5km_034112,1.5460470361647263
NGA_5km_034113,1.8829305810866013
NGA_5km_034114,1.2721968507455066
NGA_5km_034115,1.214359956629136
NGA_5km_034116,1.561905276816609
NGA_5km_034117,2.8309733072916665
NGA_5km_034118,0.9555125517003676
NGA_5km_034119,1.1520878411585989
NGA_5km_034120,0.9359575658062704
NGA_5km_034121,1.7327254550908906
NGA_5km_034122,0.7971484614353553
NGA_5km_034123,0.9884545818652982
NGA_5km_034124,1.1673900775843427
NGA_5km_034125,1.1908132515701593
NGA_5km_034126,1.1266870436325571
NGA_5km_034127,1.0762434816048816
NGA_5km_034128,1.0637398514093137
NGA_5km_034129,1.2035926370059742
NGA_5km_034130,1.0834667729396446
NGA_5km_034131,1.096259199624243
NGA_5km_034132,0.8909235935585171
NGA_5km_034133,0.9116384468826593
NGA_5km_034134,0.8212887633080576
NGA_5km_034135,1.1186608208550348
NGA_5km_034136,0.8926437477660335
NGA_5km_034137,0.5722474740221609
NGA_5km_034138,0.492297403173509
NGA_5km_034139,0.7483514171983131
NGA_5km_034140,1.161602942772161
NGA_5km_034141,1.1749938765382455
NGA_5km_034142,0.37242542840296927
NGA_5km_034143,0.1354889713860805
NGA_5km_034144,0.40040311626359526
NGA_5km_034145,0.4972291335560917
NGA_5km_034146,0.47157350955949934
NGA_5km_034147,0.551493276957593
NGA_5km_034148,0.807898577521829
NGA_5km_034149,0.9198169583588643
NGA_5km_034150,0.7552650302064186
NGA_5km_034151,0.8969144135518791
NGA_5km_034152,2.909805198120915
NGA_5km_034153,4.9574198006025325
NGA_5km_034154,4.2312007494863755
NGA_5km_034155,2.99142436108558
NGA_5km_034156,2.769424737668505
NGA_5km_034157,3.0226791481566586
NGA_5km_034158,1.7269179400275736
NGA_5km_034159,1.5181456921147365
NGA_5km_034160,2.6960738437627656
NGA_5km_034161,6.209205378114787
NGA_5km_034162,4.0367976521950695
NGA_5km_034163,4.21408101000817
